Score,C,kernel
0.9087999999999999,0.30584494295802445,linear
0.9075333333333333,9.60714306409916,linear
0.9075333333333333,4.419450186421157,linear
0.9075333333333333,5.347564316322378,linear
0.9075333333333333,3.1424224295953773,linear
0.9075333333333333,1.9340450985343383,linear
0.9075333333333333,1.9182496720710063,linear
0.9075333333333333,2.2233911067827616,linear
0.9075333333333333,8.424426408004217,linear
0.9075333333333333,9.799098521619943,linear
0.9075333333333333,3.845401188473625,linear
0.9075333333333333,7.180725777960454,linear
0.9075333333333333,6.1111501174320875,linear
0.9075333333333333,8.761761457749351,linear
0.9075333333333333,0.6808361216819946,linear
0.9075333333333333,1.6599452033620266,linear
0.9075333333333333,1.6601864044243653,linear
0.9075333333333333,6.086584841970366,linear
0.9075333333333333,7.41993941811405,linear
0.9075333333333333,3.0122914019804194,linear
