Score,min_samples_leaf,min_samples_split,n_estimators
0.9209999999999999,10,50,1000
0.9204666666666667,10,50,300
0.9183333333333333,15,50,300
0.9179333333333334,15,50,1000
0.9164,10,75,300
0.9159999999999999,20,50,300
0.9155333333333333,20,50,1000
0.915,10,75,1000
0.9124,15,75,1000
0.9122666666666666,15,75,300
0.9106,20,75,1000
0.9097333333333334,20,75,300
