RMSE,max_depth,max_features,min_samples_leaf,min_samples_split
58872.86055188357,46,,16,73
58908.37901090112,51,,14,84
58918.2469901693,67,,12,85
58995.6210407706,62,,6,88
59036.651049105894,45,,5,82
59055.26575554909,71,,23,79
59126.87563308187,40,,19,86
59143.09470647958,45,,11,48
59216.91266440008,27,,6,54
59265.22597726354,63,,24,39
