Score,n_neighbors,weights
0.9681,6,uniform
0.9685,4,uniform
0.9692833333333335,5,uniform
0.9700666666666666,3,uniform
0.9704166666666667,5,distance
0.9711166666666665,3,distance
0.9712333333333334,6,distance
0.9716166666666666,4,distance
