Score,min_samples_leaf,min_samples_split,n_estimators
0.9478833333333334,10,50,1000
0.9474333333333332,10,50,300
0.9464833333333335,15,50,1000
0.9458166666666666,15,50,300
0.9443833333333332,20,50,1000
0.944,10,75,1000
0.9439333333333334,20,50,300
0.9434999999999999,10,75,300
0.9423,15,75,1000
0.9419333333333334,15,75,300
0.9411166666666667,20,75,1000
0.9403333333333334,20,75,300
