Score,n_neighbors,weights
0.9188000000000001,4,distance
0.9178000000000001,3,distance
0.9176,6,distance
0.9158,5,distance
0.9129999999999999,5,uniform
0.9126666666666667,3,uniform
0.9104666666666666,6,uniform
0.9103999999999999,4,uniform
