RMSE,max_depth,max_features,min_samples_leaf,min_samples_split
65865.15899187431,50.0,sqrt,1,75
65865.15899187431,30.0,sqrt,1,75
65910.0181157374,10.0,log2,1,75
65910.0181157374,10.0,sqrt,1,75
65913.7041435853,10.0,log2,20,10
65913.7041435853,10.0,log2,20,20
65913.7041435853,10.0,sqrt,20,10
65913.7041435853,10.0,sqrt,20,20
65960.27653986892,10.0,sqrt,1,100
65960.27653986892,10.0,log2,1,100
66025.53674335484,10.0,log2,5,20
66025.53674335484,10.0,sqrt,5,20
66077.69811927393,30.0,sqrt,20,50
66077.69811927393,,log2,20,50
66077.69811927393,50.0,sqrt,20,50
66077.69811927393,30.0,log2,20,50
66077.69811927393,50.0,log2,20,50
66077.69811927393,,sqrt,20,50
66079.78934396523,10.0,sqrt,5,10
66079.78934396523,10.0,log2,5,10
66085.51993758054,10.0,log2,5,50
66085.51993758054,10.0,sqrt,5,50
66268.28921943864,10.0,log2,1,20
66268.28921943864,10.0,sqrt,1,20
66310.40695025166,,sqrt,15,100
66310.40695025166,30.0,sqrt,15,100
66310.40695025166,,log2,15,100
66310.40695025166,50.0,log2,15,100
66310.40695025166,30.0,log2,15,100
66310.40695025166,50.0,sqrt,15,100
66550.26509797896,30.0,,1,10
66556.83147630529,10.0,sqrt,10,100
66556.83147630529,10.0,log2,10,100
66569.9365618405,50.0,,1,10
66569.9365618405,,,1,10
66590.9849645443,10.0,log2,15,75
66590.9849645443,10.0,sqrt,15,75
66593.40808620318,10.0,log2,10,75
66593.40808620318,10.0,sqrt,10,75
66608.11526023544,10.0,sqrt,10,50
66608.11526023544,10.0,log2,10,50
66887.3903794975,10.0,log2,15,100
66887.3903794975,10.0,sqrt,15,100
66895.67848546653,10.0,sqrt,5,100
66895.67848546653,10.0,log2,5,100
67308.63426329449,10.0,log2,20,75
67308.63426329449,10.0,sqrt,20,75
67601.88561595428,10.0,log2,1,50
67601.88561595428,10.0,sqrt,1,50
67621.96796932141,10.0,sqrt,1,10
67621.96796932141,10.0,log2,1,10
68145.53447229418,50.0,sqrt,1,20
68145.53447229418,,sqrt,1,20
68145.53447229418,30.0,log2,1,20
68145.53447229418,,log2,1,20
68145.53447229418,50.0,log2,1,20
68145.53447229418,30.0,sqrt,1,20
68411.13206860209,30.0,sqrt,5,10
68411.13206860209,,log2,5,10
68411.13206860209,30.0,log2,5,10
68411.13206860209,,sqrt,5,10
68411.13206860209,50.0,sqrt,5,10
68411.13206860209,50.0,log2,5,10
69377.18114816981,30.0,log2,1,10
69377.18114816981,30.0,sqrt,1,10
69418.99351028106,50.0,sqrt,1,10
69418.99351028106,,log2,1,10
69418.99351028106,,sqrt,1,10
69418.99351028106,50.0,log2,1,10
