Score,C,coef0,degree,kernel
0.9658666666666667,10.0,0.25,3,poly
0.9658666666666667,50.0,0.25,3,poly
0.9658,25.0,0.25,3,poly
0.9634,10.0,0.4,3,poly
0.9633333333333333,50.0,0.4,3,poly
0.9632666666666667,25.0,0.4,3,poly
0.9612,10.0,0.5,3,poly
0.9610666666666667,25.0,0.5,3,poly
0.9610666666666667,50.0,0.5,3,poly
