RMSE,max_features,n_estimators
49005.81495363573,8,971
49013.0884055812,8,1144
49048.73233428854,6,430
49172.1121654907,9,869
49229.838105743394,6,187
49317.44699277008,10,1195
49343.80515381405,10,960
49471.73016983403,10,221
49513.33020509257,11,905
49606.902086493974,11,230
